propertyid,caption,imageurl,issuperhost,numofratings,numofrooms,price,propertytype,rating,savedlistid
1,Professionally designed place!,https://propertygallery.s3-us-west-1.amazonaws.com/Miami+Set/LivingArea1.jpg,true,759,3,$800,Entire Castle,3.86,1
2,Hakuna Matata - close to downtown,https://propertygallery.s3-us-west-1.amazonaws.com/Miami+Set/Kitchen1.jpg,false,632,2,$745,Entire Place,4.44,7
3,Luxury hide-away,https://propertygallery.s3-us-west-1.amazonaws.com/Miami+Set/Couch1.jpg,false,520,5,$633,Entire Apartment,4.65,
4,Lovely place for relaxation,https://propertygallery.s3-us-west-1.amazonaws.com/Hawaii+Set+1/Patio1.jpg,true,470,4,$570,Entire Villa,4.1,6
5,Great location in middle of attractions,https://propertygallery.s3-us-west-1.amazonaws.com/Hawaii+Set+1/Outside1.jpg,false,438,3,$488,Private Room,4.88,5
6,Historic house in center of city,https://propertygallery.s3-us-west-1.amazonaws.com/Hawaii+Set+1/Bed1.jpg,false,350,2,$420,Private House,3.95,
7,Private place to relax,https://propertygallery.s3-us-west-1.amazonaws.com/Hawaii+Set+1/Bathroom2.jpg,true,290,5,$375,Entire Castle,4.27,4
8,Little summer get away home,https://propertygallery.s3-us-west-1.amazonaws.com/Hawaii+Set+1/Bathroom1.jpg,false,186,4,$250,Entire Place,4.3,3
9,Great place for family vacation,https://propertygallery.s3-us-west-1.amazonaws.com/Hawaii+Set+1/AreaRoom2.jpg,false,100,3,$236,Entire Apartment,4.55,2
10,Beautiful room overlooking city,https://propertygallery.s3-us-west-1.amazonaws.com/Hawaii+Set+1/AreaRoom1.jpg,true,77,2,$190,Entire Villa,3.77,1
